Nb,Ta,V,Cr,W,Zr,Density_g_cc_ROM,density_err,Liquidus_K_TC,Solidus_K_TC,Liquidus_C_TC,Solidus_C_TC,tm_err,ts_err,YS_1300C_MPa
0.7958806452440162,0.0141193547559837,0.01,0.05,0.1,0.03,9.5,0.0,2741.867970963825,2525.009200539686,2468.717970963825,2251.859200539686,281.2820290361751,498.14079946031416,134.28726320968119
0.7838152940925722,0.0161847059074277,0.02,0.05,0.1,0.03,9.5,0.0,2734.320575599142,2507.913171148722,2461.170575599142,2234.763171148722,288.829424400858,515.236828851278,145.93617137858175
0.7717499429411283,0.0182500570588716,0.03,0.05,0.1,0.03,9.5,0.0,2726.799805964572,2491.525420437372,2453.649805964572,2218.375420437372,296.3501940354281,531.6245795626282,157.6132641476075
0.7596845917896841,0.0203154082103158,0.04,0.05,0.1,0.03,9.5,0.0,2719.30621445872,2475.8031378308992,2446.15621445872,2202.653137830899,303.8437855412799,547.3468621691009,169.29885233523785
0.7234885383353518,0.0265114616646482,0.07,0.05,0.1,0.03,9.5,0.0,2696.99429652078,2432.2302909960144,2423.84429652078,2159.0802909960144,326.1557034792204,590.9197090039856,204.23679075973914
0.6752271337295752,0.0347728662704247,0.11,0.05,0.1,0.03,9.5,0.0,2667.662316651971,2381.210855848083,2394.512316651971,2108.060855848083,355.4876833480289,641.9391441519169,250.0155029340314
0.663161782578131,0.036838217421869,0.12,0.05,0.1,0.03,9.5,0.0,2660.4083015781785,2369.518318284945,2387.2583015781784,2096.3683182849454,362.7416984218216,653.6316817150546,261.235482032463
0.6510964314266869,0.0389035685733129,0.13,0.05,0.1,0.03,9.5,0.0,2653.187324860125,2358.1992431247068,2380.037324860125,2085.0492431247067,369.9626751398751,664.9507568752933,272.34415861100103
0.6390310802752428,0.0409689197247571,0.14,0.05,0.1,0.03,9.5,0.0,2646.000153627564,2347.2310437735823,2372.8501536275635,2074.081043773582,377.1498463724365,675.9189562264178,283.3316109566355
0.8079459963954605,0.0120540036045394,0.0,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2749.441455934073,2542.857860423672,2476.291455934073,2269.7078604236717,273.7085440659271,480.2921395763288,122.68860785333578
0.7476192406382399,0.02238075936176,0.05,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2711.8403706891254,2460.7053994540443,2438.6903706891253,2187.555399454044,311.3096293108747,562.4446005459558,180.97518596909956
0.7355538894867959,0.0244461105132041,0.06,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2704.402862418749,2446.1933461620724,2431.2528624187494,2173.0433461620723,318.7471375812506,576.9566538379277,192.62610990650552
0.7114231871839076,0.0285768128160923,0.08,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2689.615299937785,2418.781752179275,2416.465299937785,2145.631752179275,333.53470006221505,604.3682478207252,215.79349787712442
0.6993578360324635,0.0306421639675365,0.09,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2682.2665206411093,2405.8154345223843,2409.116520641109,2132.665434522384,340.8834793588908,617.3345654776158,227.28342584636135
0.6872924848810193,0.0327075151189806,0.1,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2674.948628585236,2393.301173844192,2401.798628585236,2120.151173844192,348.20137141476425,629.8488261558082,238.69454927489878
0.6269657291237988,0.0430342708762011,0.15,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2638.8475814786707,2336.5927510458864,2365.6975814786706,2063.4427510458863,384.3024185213294,686.5572489541137,294.18826361255174
0.6149003779723545,0.0450996220276454,0.16,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2631.7304292676245,2326.264900560954,2358.5804292676244,2053.114900560954,391.4195707323756,696.8850994390459,304.90483607369373
0.6028350268209106,0.0471649731790893,0.17,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2624.649545834849,2316.229423434696,2351.499545834849,2043.079423434696,398.50045416515104,706.9205765653041,315.47229864948366
0.5907696756694663,0.0492303243305336,0.18,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2617.605808669892,2306.469541521936,2344.455808669892,2033.319541521936,405.5441913301079,716.6804584780643,325.8818342775687
0.5787043245180222,0.0512956754819776,0.19,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2610.600124495948,2296.9696680019647,2337.450124495948,2023.8196680019648,412.5498755040521,726.1803319980354,336.1248053076472
0.566638973366578,0.0533610266334219,0.2,0.05,0.1,0.03,9.499999999999998,1.7763568394002505e-15,2603.633429764213,2287.715313752896,2330.483429764213,2014.5653137528952,419.5165702357872,735.4346862471048,346.1927244588404
